,Amplitude,Phase
0,0.048100935541839036,0.6497380341585434
1,0.047980204251336554,0.6464189829633686
2,0.047800104602394033,0.6414090616361056
3,0.047800104602394033,0.6414090616361056
4,0.047800104602394033,0.6414090616361056
5,0.048021349418775935,0.6509978446502526
6,0.04812452597169297,0.6572159595437879
7,0.04768070888734603,0.6380481427073565
8,0.04818568252084988,0.6588589713776412
9,0.04812452597169297,0.6572159595437879
10,0.04808201326899862,0.6526522676436044
11,0.04804050374423608,0.6480805938489589
12,0.047980204251336554,0.6464189829633686
13,0.047980204251336554,0.6464189829633686
14,0.04776107201476765,0.6368010415482198
15,0.047860004178852694,0.6430832233181925
16,0.04796081734082714,0.6493392409626377
17,0.048021349418775935,0.6509978446502526
18,0.047980204251336554,0.6464189829633686
19,0.047980204251336554,0.6464189829633686
20,0.047980204251336554,0.6464189829633686
21,0.048100935541839036,0.6497380341585434
22,0.048142808393363865,0.6543025167071493
23,0.04818568252084988,0.6588589713776412
24,0.04822955525401544,0.663407230640477
25,0.048021349418775935,0.6509978446502526
26,0.047860004178852694,0.6430832233181925
27,0.04774033933687343,0.6397307035347264
28,0.047642418074651166,0.633425882969123
29,0.047621213760254494,0.6363613729108577
30,0.047701677119361685,0.6351155611139844
31,0.04812452597169297,0.6572159595437879
32,0.047800104602394033,0.6414090616361056
33,0.04792003756258736,0.6447531949502822
34,0.048021349418775935,0.6509978446502526
35,0.04812452597169297,0.6572159595437879
36,0.048246968816705205,0.6604978135148565
37,0.04812452597169297,0.6572159595437879
38,0.048002604096029806,0.6539173987243034
39,0.04808201326899862,0.6526522676436044
40,0.04808201326899862,0.6526522676436044
41,0.04820373429517814,0.6559485986621898
42,0.04818568252084988,0.6588589713776412
43,0.04822955525401544,0.663407230640477
44,0.04827442387020397,0.667947128924406
45,0.04833642518846532,0.6695713598427435
46,0.048246968816705205,0.6604978135148565
47,0.047720016764454615,0.6426628860222491
48,0.04768070888734603,0.6380481427073565
49,0.047583295388191234,0.6317320010966014
50,0.047642418074651166,0.633425882969123
51,0.047701677119361685,0.6351155611139844
52,0.047621213760254494,0.6363613729108577
53,0.04744354539871459,0.6312757482489957
54,0.047465461127012006,0.6283316024339998
55,0.04752430956889195,0.6300339095459013
56,0.04744354539871459,0.6312757482489957
57,0.04836713760395687,0.6770011902311828
58,0.04836713760395687,0.6770011902311828
59,0.048320285595183615,0.6724785026448511
60,0.04833642518846532,0.6695713598427435
61,0.04827442387020397,0.667947128924406
62,0.04822955525401544,0.663407230640477
63,0.04822955525401544,0.663407230640477
64,0.04822955525401544,0.663407230640477
65,0.04822955525401544,0.663407230640477
66,0.04827442387020397,0.667947128924406
67,0.048398553697399795,0.6711914250233795
68,0.04830455465067567,0.675387563536598
69,0.04766015106984078,0.6409832794516915
